nodes;migration;evaluations
s8;multikulti_elite_consensus;1927
s8;multikulti_elite_consensus;1135
s8;multikulti_elite_consensus;2530
s8;multikulti_elite_consensus;1147
s8;multikulti_elite_consensus;1653
s8;multikulti_elite_consensus;1480
s8;multikulti_elite_consensus;1587
s8;multikulti_elite_consensus;2708
s8;multikulti_elite_consensus;1659
s8;multikulti_elite_consensus;2333
s8;multikulti_elite_consensus;1641
s8;multikulti_elite_consensus;1082
s8;multikulti_elite_consensus;1391
s8;multikulti_elite_consensus;1284
s8;multikulti_elite_consensus;1772
s8;multikulti_elite_consensus;1100
s8;multikulti_elite_consensus;1022
s8;multikulti_elite_consensus;1950
s8;multikulti_elite_consensus;1272
s8;multikulti_elite_consensus;1665
s8;multikulti_elite_consensus;1582
s8;multikulti_elite_consensus;764
s8;multikulti_elite_consensus;1820
s8;multikulti_elite_consensus;1391
s8;multikulti_elite_consensus;1950
s8;multikulti_elite_consensus;1326
s8;multikulti_elite_consensus;1439
s8;multikulti_elite_consensus;1998
s8;multikulti_elite_consensus;1492
s8;multikulti_elite_consensus;1587
s4;multikulti_consensus;2100
s4;multikulti_consensus;1945
s4;multikulti_consensus;1837
s4;multikulti_consensus;1837
s4;multikulti_consensus;1467
s4;multikulti_consensus;2267
s4;multikulti_consensus;2530
s4;multikulti_consensus;2172
s4;multikulti_consensus;2602
s4;multikulti_consensus;1777
s4;multikulti_consensus;1969
s4;multikulti_consensus;2650
s4;multikulti_consensus;2351
s4;multikulti_consensus;2136
s4;multikulti_consensus;1813
s4;multikulti_consensus;2602
s4;multikulti_consensus;1861
s4;multikulti_consensus;1837
s4;multikulti_consensus;2124
s4;multikulti_consensus;2578
s4;multikulti_consensus;2267
s4;multikulti_consensus;1945
s4;multikulti_consensus;1706
s4;multikulti_consensus;2124
s4;multikulti_consensus;2351
s4;multikulti_consensus;1718
s4;multikulti_consensus;2028
s4;multikulti_consensus;1921
s4;multikulti_consensus;2255
s4;multikulti_consensus;2052
s4;best_none;1861
s4;best_none;1670
s4;best_none;2327
s4;best_none;2291
s4;best_none;2184
s4;best_none;2291
s4;best_none;2470
s4;best_none;2267
s4;best_none;1873
s4;best_none;1598
s4;best_none;2351
s4;best_none;2028
s4;best_none;1980
s4;best_none;1765
s4;best_none;1443
s4;best_none;2351
s4;best_none;1885
s4;best_none;1777
s4;best_none;2076
s4;best_none;2088
s4;best_none;2088
s4;best_none;2052
s4;best_none;2291
s4;best_none;2076
s4;best_none;2004
s4;best_none;2351
s4;best_none;1789
s4;best_none;1849
s4;best_none;2458
s4;best_none;2458
s2;multikulti_elite_best;3798
s2;multikulti_elite_best;3124
